toyokumo_id,nest_level,prefectures_name,zone_name,region_name,city_name
01,1,北海道,北海道,北海道地方,
02,1,青森県,青森県,東北地方,
03,1,岩手県,岩手県,東北地方,
04,1,宮城県,宮城県,東北地方,
05,1,秋田県,秋田県,東北地方,
06,1,山形県,山形県,東北地方,
07,1,福島県,福島県,東北地方,
08,1,茨城県,茨城県,関東地方,
09,1,栃木県,栃木県,関東地方,
10,1,群馬県,群馬県,関東地方,
11,1,埼玉県,埼玉県,関東地方,
12,1,千葉県,千葉県,関東地方,
13,1,東京都,東京都,関東地方,
14,1,神奈川県,神奈川県,関東地方,
15,1,新潟県,新潟県,中部地方,
16,1,富山県,富山県,中部地方,
17,1,石川県,石川県,中部地方,
18,1,福井県,福井県,中部地方,
19,1,山梨県,山梨県,中部地方,
20,1,長野県,長野県,中部地方,
21,1,岐阜県,岐阜県,中部地方,
22,1,静岡県,静岡県,中部地方,
23,1,愛知県,愛知県,中部地方,
24,1,三重県,三重県,近畿地方,
25,1,滋賀県,滋賀県,近畿地方,
26,1,京都府,京都府,近畿地方,
27,1,大阪府,大阪府,近畿地方,
28,1,兵庫県,兵庫県,近畿地方,
29,1,奈良県,奈良県,近畿地方,
30,1,和歌山県,和歌山県,近畿地方,
31,1,鳥取県,鳥取県,中国地方,
32,1,島根県,島根県,中国地方,
33,1,岡山県,岡山県,中国地方,
34,1,広島県,広島県,中国地方,
35,1,山口県,山口県,中国地方,
36,1,徳島県,徳島県,四国地方,
37,1,香川県,香川県,四国地方,
38,1,愛媛県,愛媛県,四国地方,
39,1,高知県,高知県,四国地方,
40,1,福岡県,福岡県,九州地方,
41,1,佐賀県,佐賀県,九州地方,
42,1,長崎県,長崎県,九州地方,
43,1,熊本県,熊本県,九州地方,
44,1,大分県,大分県,九州地方,
45,1,宮崎県,宮崎県,九州地方,
46,1,鹿児島県,鹿児島県,九州地方,
47,1,沖縄県,沖縄県,九州地方,
100,2,北海道,北海道道央,石狩地方北部,石狩市、石狩郡［当別町、新篠津村］
101,2,北海道,北海道道央,石狩地方中部,札幌市、江別市
102,2,北海道,北海道道央,石狩地方南部,千歳市、恵庭市、北広島市
115,2,北海道,北海道道央,後志地方北部,小樽市、積丹郡［積丹町］、古平郡［古平町］、余市郡［仁木町、余市町、赤井川村］
116,2,北海道,北海道道央,後志地方東部,虻田郡の一部（ニセコ町、真狩村、留寿都村、喜茂別町、京極町、倶知安町）
117,2,北海道,北海道道央,後志地方西部,島牧郡［島牧村］、寿都郡［寿都町、黒松内町］、磯谷郡［蘭越町］、岩内郡［共和町、岩内町］、古宇郡［泊村、神恵内村］
120,2,北海道,北海道道央,空知地方北部,深川市、雨竜郡の一部（妹背牛町、秩父別町、北竜町、沼田町）
121,2,北海道,北海道道央,空知地方中部,芦別市、赤平市、滝川市、砂川市、歌志内市、空知郡の一部（奈井江町、上砂川町）、樺戸郡の一部（浦臼町、新十津川町）、雨竜郡の一部（雨竜町）
122,2,北海道,北海道道央,空知地方南部,夕張市、岩見沢市、美唄市、三笠市、空知郡の一部（南幌町）、夕張郡［由仁町、長沼町、栗山町］、樺戸郡の一部（月形町）
105,2,北海道,北海道道南,渡島地方北部,二海郡［八雲町］、山越郡［長万部町］
106,2,北海道,北海道道南,渡島地方東部,函館市、北斗市、亀田郡［七飯町］、茅部郡［鹿部町、森町］
107,2,北海道,北海道道南,渡島地方西部,松前郡［松前町、福島町］、上磯郡［知内町、木古内町］
110,2,北海道,北海道道南,檜山地方,檜山郡［江差町、上ノ国町、厚沢部町］、爾志郡［乙部町］、瀬棚郡［今金町］、久遠郡［せたな町］
119,2,北海道,北海道道南,北海道奥尻島,奥尻郡［奥尻町］
145,2,北海道,北海道道南,胆振地方西部,伊達市、虻田郡の一部（豊浦町、洞爺湖町）、有珠郡［壮瞥町］
146,2,北海道,北海道道南,胆振地方中東部,室蘭市、苫小牧市、登別市、白老郡［白老町］、勇払郡の一部（安平町、厚真町、むかわ町）
150,2,北海道,北海道道南,日高地方西部,沙流郡［日高町、平取町］
151,2,北海道,北海道道南,日高地方中部,新冠郡［新冠町］、日高郡［新ひだか町］
152,2,北海道,北海道道南,日高地方東部,浦河郡［浦河町］、様似郡［様似町］、幌泉郡［えりも町］
125,2,北海道,北海道道北,上川地方北部,士別市、名寄市、上川郡の一部（和寒町、剣淵町、下川町）、中川郡の一部（美深町、音威子府村、中川町）、雨竜郡の一部（幌加内町）
126,2,北海道,北海道道北,上川地方中部,旭川市、上川郡の一部（鷹栖町、東神楽町、当麻町、比布町、愛別町、上川町、東川町、美瑛町）
127,2,北海道,北海道道北,上川地方南部,富良野市、空知郡の一部（上富良野町、中富良野町、南富良野町）、勇払郡の一部（占冠村）
130,2,北海道,北海道道北,留萌地方中北部,苫前郡［苫前町、羽幌町、初山別村］、天塩郡の一部（遠別町、天塩町）
131,2,北海道,北海道道北,留萌地方南部,留萌市、増毛郡［増毛町］、留萌郡［小平町］
135,2,北海道,北海道道北,宗谷地方北部,稚内市、宗谷郡［猿払村］、天塩郡の一部（豊富町、幌延町）
136,2,北海道,北海道道北,宗谷地方南部,枝幸郡［浜頓別町、中頓別町、枝幸町］
139,2,北海道,北海道道北,北海道利尻礼文,礼文郡［礼文町］、利尻郡［利尻町、利尻富士町］
140,2,北海道,北海道道東,網走地方,網走市、網走郡［美幌町、津別町、大空町］、斜里郡［斜里町、清里町、小清水町］
141,2,北海道,北海道道東,北見地方,北見市、常呂郡［訓子府町、置戸町、佐呂間町］
142,2,北海道,北海道道東,紋別地方,紋別市、紋別郡［遠軽町、湧別町、滝上町、興部町、西興部村、雄武町］
155,2,北海道,北海道道東,十勝地方北部,河東郡の一部（上士幌町、鹿追町）、上川郡の一部（新得町）、足寄郡［足寄町、陸別町］
